    PID    PPID USER         ELAPSED CMD
    801     799 david_m+    05:56:43 (sd-pam)
    103       2 root        05:57:06 [acpi_thermal_pm]
    757       1 root        05:56:44 /sbin/agetty -o -p -- \u --noclear tty1 linux
    931     898 david_m+    05:56:41 agy --continue --dangerously-skip-permissions
     91       2 root        05:57:07 [ata_sff]
  31815     876 david_m+       00:01 bash /home/david_master/.local/bin/weekly-server-agent-backup.sh
     88       2 root        05:57:07 [blkcg_punt_bio]
    134       2 root        05:57:06 [charger_manager]
    892     870 david_m+    05:56:42 claude --continue --dangerously-skip-permissions
    876     835 david_m+    05:56:42 codex --dangerously-bypass-approvals-and-sandbox resume 019f1a39-acaa-72a1-b667-079b258ec2fd
   4919       1 david_m+    05:18:17 codex -c features.code_mode_host=true app-server --listen unix://
  15537   15528 david_m+    03:09:55 codex app-server proxy
  24482   24473 david_m+    01:16:48 codex app-server proxy
  28298     876 david_m+       27:26 /home/david_master/.codex/packages/standalone/releases/0.144.1-x86_64-unknown-linux-musl/bin/codex-code-mode-host
     18       2 root        05:57:07 [cpuhp/0]
     19       2 root        05:57:07 [cpuhp/1]
     25       2 root        05:57:07 [cpuhp/2]
    713       1 root        05:56:44 /usr/sbin/cron -f -P
    183       2 root        05:57:05 [cryptd]
    714       1 message+    05:56:44 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1059     799 david_m+    05:56:38 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     94       2 root        05:57:07 [devfreq_wq]
    100       2 root        05:57:06 [ecryptfs-kthrea]
     93       2 root        05:57:07 [edac-poller]
    321       2 root        05:57:02 [ext4-rsv-conver]
    720       1 root        05:56:44 /usr/bin/python3 /usr/bin/fail2ban-server -xf start
    815     799 david_m+    05:56:43 /home/david_master/.hermes/hermes-agent/venv/bin/python3 /home/david_master/.hermes/hermes-agent/venv/bin/hermes dashboard --host 0.0.0.0 --port 9119 --no-open --skip-build
    957       1 david_m+    05:56:41 /home/david_master/.hermes/hermes-agent/venv/bin/python3 /home/david_master/.hermes/hermes-agent/venv/bin/hermes gateway run --replace
     16       2 root        05:57:07 [idle_inject/0]
     20       2 root        05:57:07 [idle_inject/1]
     26       2 root        05:57:07 [idle_inject/2]
     32       2 root        05:57:07 [inet_frag_wq]
    113       2 root        05:57:06 [ipv6_addrconf]
    723       1 root        05:56:44 /usr/sbin/irqbalance --foreground
    320       2 root        05:57:02 [jbd2/sda1-8]
    423       2 root        05:57:01 [kaluad]
     33       2 root        05:57:07 [kauditd]
     87       2 root        05:57:07 [kblockd]
     37       2 root        05:57:07 [kcompactd0]
     31       2 root        05:57:07 [kdevtmpfs]
     39       2 root        05:57:07 [khugepaged]
     34       2 root        05:57:07 [khungtaskd]
     86       2 root        05:57:07 [kintegrityd]
    431       2 root        05:57:01 [kmpath_handlerd]
    427       2 root        05:57:01 [kmpath_rdacd]
    428       2 root        05:57:01 [kmpathd]
     38       2 root        05:57:07 [ksmd]
     13       2 root        05:57:07 [ksoftirqd/0]
     22       2 root        05:57:07 [ksoftirqd/1]
     28       2 root        05:57:07 [ksoftirqd/2]
    125       2 root        05:57:06 [kstrp]
     99       2 root        05:57:06 [kswapd0]
      2       0 root        05:57:07 [kthreadd]
    102       2 root        05:57:06 [kthrotld]
  24424       2 root        01:16:50 [kworker/0:0-events]
      8       2 root        05:57:07 [kworker/0:0H-events_highpri]
   7162       2 root        04:56:27 [kworker/0:1-events]
     97       2 root        05:57:06 [kworker/0:1H-kblockd]
  15411       2 root        03:09:57 [kworker/1:0-events]
     24       2 root        05:57:07 [kworker/1:0H-events_highpri]
    112       2 root        05:57:06 [kworker/1:1H-kblockd]
  27049       2 root           43:22 [kworker/1:2]
     30       2 root        05:57:07 [kworker/2:0H-kblockd]
   6863       2 root        04:56:34 [kworker/2:1-events]
    117       2 root        05:57:06 [kworker/2:1H-kblockd]
